"Target","Indicator","Indicator Name","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"4.1","4.1.4","Out-of-school rate for children of primary school age, rural, female (household survey data) (%)","","3.50","2.43","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, urban, richest quintile, male (household survey data) (%)","","4.84","5.11","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, urban, second quintile, male (household survey data) (%)","","1.75","1.59","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, rural, middle quintile, both sexes (household survey data) (%)","","11.77","12.82","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, urban, middle quintile, both sexes (household survey data) (%)","","16.45","16.29","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, rural, poorest quintile, male (household survey data) (%)","","33.22","31.65","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, urban, richest quintile, male (household survey data) (%)","","0.50","0.66","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, urban, middle quintile, female (household survey data) (%)","","1.69","0.98","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, poorest quintile, male (household survey data) (%)","","2.94","2.95","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, urban, fourth quintile, male (household survey data) (%)","","0.29","0.94","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, middle quintile, male (household survey data) (%)","","5.43","3.82","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, urban, middle quintile, both sexes (household survey data) (%)","","3.81","2.28","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, male (household survey data) (%)","","6.52","4.36","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, rural, both sexes (household survey data) (%)","","2.19","2.93","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, rural, poorest quintile, both sexes (household survey data) (%)","","2.98","3.83","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, rural, both sexes (household survey data) (%)","","5.13","3.37","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, rural, middle quintile, male (household survey data) (%)","","3.22","3.04","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, richest quintile, female (household survey data) (%)","","3.23","2.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, rural, fourth quintile, both sexes (household survey data) (%)","","0.00","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, urban, richest quintile, male (household survey data) (%)","","4.23","2.10","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, rural, second quintile, both sexes (household survey data) (%)","","0.00","0.47","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, urban, middle quintile, female (household survey data) (%)","","1.54","0.39","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, rural, poorest quintile, female (household survey data) (%)","","45.60","49.22","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, urban, poorest quintile, male (household survey data) (%)","","5.91","5.43","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, richest quintile, female (household survey data) (%)","","6.39","5.20","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, urban, middle quintile, female (household survey data) (%)","","15.78","14.41","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, urban, second quintile, male (household survey data) (%)","","2.99","2.49","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, urban, middle quintile, male (household survey data) (%)","","17.04","17.88","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, urban, fourth quintile, male (household survey data) (%)","","9.44","5.04","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, rural, second quintile, female (household survey data) (%)","","0.00","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, rural, poorest quintile, female (household survey data) (%)","","4.72","6.08","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, fourth quintile, female (household survey data) (%)","","11.19","11.74","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, rural, male (household survey data) (%)","","6.77","4.30","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, urban, both sexes (household survey data) (%)","","16.50","16.05","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, urban, female (household survey data) (%)","","3.32","2.26","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, urban, second quintile, both sexes (household survey data) (%)","","26.12","25.13","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, female (%)","","4.03","4.78","8.78","10.51","9.65","6.72","3.94","2.44","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, richest quintile, female (household survey data) (%)","","0.38","0.17","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, urban, male (household survey data) (%)","","1.40","1.54","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, middle quintile, both sexes (household survey data) (%)","","15.91","15.90","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, second quintile, both sexes (household survey data) (%)","","2.98","2.20","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, richest quintile, both sexes (household survey data) (%)","","3.69","2.02","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, rural, poorest quintile, female (household survey data) (%)","","5.04","3.49","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, urban, poorest quintile, female (household survey data) (%)","","7.54","6.31","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, male (household survey data) (%)","","1.29","1.49","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, second quintile, both sexes (household survey data) (%)","","2.16","2.47","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, second quintile, male (household survey data) (%)","","1.34","1.43","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, fourth quintile, both sexes (household survey data) (%)","","0.84","1.21","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, poorest quintile, both sexes (household survey data) (%)","","5.09","5.86","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, rural, middle quintile, male (household survey data) (%)","","0.00","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, poorest quintile, female (household survey data) (%)","","45.53","47.62","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, second quintile, both sexes (household survey data) (%)","","25.52","25.53","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, second quintile, female (household survey data) (%)","","26.20","26.12","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, rural, poorest quintile, both sexes (household survey data) (%)","","39.85","41.22","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, male (%)","","6.00","4.76","4.83","5.49","4.78","4.67","4.55","4.72","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, urban, poorest quintile, both sexes (household survey data) (%)","","38.10","37.34","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, urban, fourth quintile, male (household survey data) (%)","","9.58","9.52","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, urban, richest quintile, female (household survey data) (%)","","6.64","5.40","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, female (household survey data) (%)","","3.09","3.38","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, poorest quintile, male (household survey data) (%)","","10.65","8.20","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, urban, second quintile, both sexes (household survey data) (%)","","3.35","2.63","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, richest quintile, both sexes (household survey data) (%)","","0.43","0.39","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, middle quintile, female (household survey data) (%)","","1.35","0.35","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, urban, fourth quintile, both sexes (household survey data) (%)","","5.96","3.33","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, urban, fourth quintile, female (household survey data) (%)","","11.33","11.85","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, rural, male (household survey data) (%)","","27.00","26.31","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, fourth quintile, female (household survey data) (%)","","2.30","1.41","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, rural, middle quintile, both sexes (household survey data) (%)","","1.02","1.28","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, rural, poorest quintile, male (household survey data) (%)","","8.69","5.65","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, urban, richest quintile, both sexes (household survey data) (%)","","3.63","1.95","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, male (%)","","2.37","3.53","7.26","9.12","8.27","5.62","2.96","1.50","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, urban, both sexes (household survey data) (%)","","2.18","2.28","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, second quintile, male (household survey data) (%)","","3.07","2.20","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (household survey data) (%)","","22.03","21.54","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, urban, fourth quintile, female (household survey data) (%)","","2.46","1.53","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, both sexes (household survey data) (%)","","20.29","19.83","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, second quintile, female (household survey data) (%)","","2.88","2.19","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, both sexes (household survey data) (%)","","2.18","2.43","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, urban, poorest quintile, male (household survey data) (%)","","32.73","32.68","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, rural, fourth quintile, both sexes (household survey data) (%)","","17.96","17.04","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, second quintile, male (household survey data) (%)","","24.82","24.93","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, richest quintile, male (household survey data) (%)","","4.11","2.04","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, urban, poorest quintile, male (household survey data) (%)","","14.71","13.26","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, rural, second quintile, male (household survey data) (%)","","3.37","1.04","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, rural, second quintile, both sexes (household survey data) (%)","","1.65","0.52","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, poorest quintile, both sexes (household survey data) (%)","","39.31","39.90","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, rural, both sexes (household survey data) (%)","","32.01","33.28","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, richest quintile, male (household survey data) (%)","","4.69","4.97","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, rural, fourth quintile, male (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, rural, richest quintile, both sexes (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, rural, richest quintile, female (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, rural, richest quintile, male (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, rural, richest quintile, female (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, rural, fourth quintile, female (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, rural, richest quintile, male (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, rural, richest quintile, female (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, rural, middle quintile, female (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, rural, fourth quintile, female (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, rural, richest quintile, male (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, rural, fourth quintile, female (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, rural, fourth quintile, male (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, rural, richest quintile, both sexes (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for children of primary school age, rural, richest quintile, both sexes (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, rural, fourth quintile, male (household survey data) (%)","","","0.00","","","","","","","",""
"4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, both sexes (%)","","5.12","5.71","3.48","3.10","2.24","2.26","2.33","2.63","",""
"4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","","4.66","5.03","3.29","2.96","2.23","2.27","2.33","2.60","",""
"4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","","5.60","6.42","3.70","3.24","2.25","2.25","2.33","2.65","",""
"4.1","4.1.5","Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, both sexes (%)","","3.77","3.51","1.66","1.50","1.81","2.10","2.15","2.18","",""
"4.1","4.1.5","Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, female (%)","","4.06","3.77","1.77","1.58","1.86","2.14","2.16","2.16","",""
"4.1","4.1.5","Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, male (%)","","3.49","3.25","1.56","1.43","1.76","2.07","2.15","2.19","",""
"4.1","4.1.6","Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number)","","","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"4.1","4.1.6","Administration of a nationally-representative learning assessment at the end of primary in mathematics (number)","","","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"4.1","4.1.6","Administration of a nationally-representative learning assessment at the end of primary in reading (number)","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00"
"4.1","4.1.6","Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number)","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"4.1","4.1.6","Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number)","","","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"4.1","4.1.6","Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number)","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"4.1","4.1.7","Number of years of free primary and secondary education guaranteed in legal frameworks","12.00","12.00","12.00","12.00","12.00","12.00","12.00","12.00","12.00","12.00","12.00"
"4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","12.00","12.00","12.00","12.00","12.00","12.00","12.00","12.00","12.00","12.00","12.00"
"4.2","4.2.1","Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, both sexes (%)","","","","","","","73.70","","","",""
"4.2","4.2.1","Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, male (%)","","","","","","","69.80","","","",""
"4.2","4.2.1","Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, female (%)","","","","","","","78.00","","","",""
"4.2","4.2.2","Adjusted net enrolment rate, one year before the official primary entry age, female (%)","65.72","72.28","68.83","67.24","64.27","66.48","74.71","74.74","78.21","",""
"4.2","4.2.2","Adjusted net enrolment rate, one year before the official primary entry age, male (%)","68.39","73.56","70.52","69.52","66.26","68.75","76.72","77.02","80.71","",""
"4.2","4.2.2","Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)","67.08","72.93","69.69","68.40","65.28","67.64","75.74","75.91","79.49","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, second quintile, male (%)","","","0.00","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, poorest quintile, male (%)","","","56.00","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, richest quintile, female (%)","","","79.43","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, middle quintile, male (%)","","","71.97","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, richest quintile, female (%)","","","0.00","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, middle quintile, female (%)","","","63.29","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, middle quintile, both sexes (%)","","","68.28","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, male (%)","","","67.86","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, richest quintile, both sexes (%)","","","0.00","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, richest quintile, male (%)","","","85.82","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, fourth quintile, female (%)","","","67.65","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, fourth quintile, male (%)","","","0.00","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, fourth quintile, both sexes (%)","","","0.00","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, female (%)","","","67.94","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, male  (%)","","","70.20","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, second quintile, male (%)","","","64.99","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, fourth quintile, female (%)","","","0.00","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, second quintile, both sexes (%)","","","66.31","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, second quintile, female (%)","","","58.23","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, poorest quintile, both sexes (%)","","","59.30","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, poorest quintile, both sexes (%)","","","57.59","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, both sexes (%)","","","67.90","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, middle quintile, female (%)","","","0.00","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, male (%)","","","66.69","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, second quintile, both sexes (%)","","","61.76","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, poorest quintile, male (%)","","","48.67","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, male (%)","","","51.55","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, female (%)","","","66.66","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, richest quintile, female (%)","","","80.35","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, richest quintile, both sexes (%)","","","82.42","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, female (%)","","","71.06","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, female (%)","","","67.58","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, middle quintile, both sexes (%)","","","68.71","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, both sexes (%)","","","58.23","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, middle quintile, male (%)","","","74.18","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, both sexes (%)","","","67.12","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, female (%)","","","67.20","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, middle quintile, female (%)","","","64.56","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, poorest quintile, female (%)","","","68.84","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, richest quintile, male (%)","","","0.00","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, second quintile, both sexes (%)","","","60.72","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, second quintile, male (%)","","","65.20","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, fourth quintile, male (%)","","","66.52","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, both sexes (%)","","","68.49","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, fourth quintile, both sexes (%)","","","67.07","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, middle quintile, male (%)","","","0.00","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, richest quintile, both sexes (%)","","","83.19","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, middle quintile, both sexes (%)","","","0.00","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, second quintile, female (%)","","","55.46","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, both sexes (%)","","","62.17","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, second quintile, female (%)","","","0.00","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, richest quintile, male (%)","","","86.43","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, urban, poorest quintile, female (%)","","","64.20","","","","","","","",""
"4.2","4.2.2","Adjusted net attendance rate, one year before the official primary entry age, rural, male  (%)","","","54.60","","","","","","","",""
"4.2","4.2.4","Gross enrolment ratio, pre-primary, male (%)","30.75","28.29","27.70","29.96","30.93","33.48","37.38","38.63","40.35","",""
"4.2","4.2.4","Gross enrolment ratio, pre-primary, both sexes (%)","30.24","27.68","26.97","29.14","30.17","32.74","36.67","37.97","39.75","",""
"4.2","4.2.4","Gross enrolment ratio, pre-primary, female (%)","29.71","27.05","26.22","28.29","29.38","31.97","35.93","37.27","39.12","",""
"4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","","","0.11","0.05","0.29","0.24","0.18","0.20","0.15","",""
"4.2","4.2.4","Gross enrolment ratio, early childhood education, both sexes (%)","","","13.38","14.40","15.06","16.36","18.47","19.39","20.38","",""
"4.2","4.2.4","Gross enrolment ratio, early childhood education, male (%)","","","13.72","14.79","15.42","16.72","18.82","19.74","20.70","",""
"4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, both sexes (%)","","","0.12","0.05","0.29","0.27","0.21","0.23","0.18","",""
"4.2","4.2.4","Gross enrolment ratio, early childhood education, female (%)","","","13.03","14.00","14.69","15.99","18.10","19.02","20.04","",""
"4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","","","0.12","0.06","0.30","0.30","0.23","0.26","0.21","",""
"4.2","4.2.5","Number of years of free pre-primary education guaranteed in legal frameworks","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00"
"4.2","4.2.5","Number of years of compulsory pre-primary education guaranteed in legal frameworks","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"4.3","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 55-64 years old, male (%)","0.10","0.10","0.30","0.40","0.40","0.30","0.40","0.40","0.40","",""
"4.3","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 25-54 years old, both sexes (%)","3.90","4.50","6.60","6.40","6.80","6.90","7.30","6.80","6.90","",""
"4.3","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 55-64 years old, both sexes (%)","0.05","0.10","0.70","0.60","0.50","0.60","0.80","0.60","0.50","",""
"4.3","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, male (%)","47.40","51.70","55.50","56.50","57.30","56.80","54.80","52.80","52.50","",""
"4.3","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 25-54 years old, male (%)","4.20","4.80","6.90","6.60","7.10","7.20","7.50","6.80","7.20","",""
"4.3","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, female (%)","42.10","45.90","50.00","50.90","51.70","50.90","51.00","50.70","51.00","",""
"4.3","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-64 years old, both sexes (%)","13.00","14.10","16.50","16.50","16.80","16.60","16.40","15.60","15.60","",""
"4.3","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 55-64 years old, female (%)","0.03","0.10","1.00","0.80","0.60","0.80","1.20","0.90","0.70","",""
"4.3","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-64 years old, male (%)","13.70","15.00","17.30","17.20","17.60","17.50","17.10","15.90","16.00","",""
"4.3","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)","44.70","48.70","52.70","53.70","54.50","53.90","52.90","51.80","51.70","",""
"4.3","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 25-54 years old, female (%)","3.70","4.10","6.40","6.20","6.60","6.60","7.10","6.80","6.70","",""
"4.3","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-64 years old, female (%)","12.30","13.30","15.70","15.80","16.00","15.60","15.80","15.30","15.10","",""
